"Sezione";"Numero";"Domanda"
"Ricordi e Radici";1;"Qual è l'oggetto più vecchio che possiedi a cui sei affezionata e che storia racconta?"
"Ricordi e Radici";2;"C'è un piatto o un profumo particolare che ti riporta dritto alla tua infanzia?"
"Ricordi e Radici";3;"Qual era il tuo gioco preferito da bambina e con chi ci giocavi?"
"Ricordi e Radici";4;"C'è una canzone che, ogni volta che la ascolti, ti fa pensare a una persona o a un momento speciale?"
"Ricordi e Radici";5;"Se chiudi gli occhi e pensi alla tua infanzia, qual è il primo scorcio della tua città che ti torna in mente, con i suoi suoni e i suoi profumi?"
"Passioni ed Esperienze";6;"C'è un viaggio o un luogo che hai visitato che ti è rimasto particolarmente nel cuore e perché?"
"Passioni ed Esperienze";7;"Se potessi imparare una cosa nuova domani, senza alcun limite di tempo o fisico, quale sceglieresti?"
"Passioni ed Esperienze";8;"C'è un personaggio di un libro o di un film in cui ti sei rivista o che ti ha particolarmente colpito?"
"Passioni ed Esperienze";9;"Qual è stato il tuo primo lavoro e cosa ti ha insegnato?"
"Passioni ed Esperienze";10;"Qual è una tradizione di famiglia che hai sempre cercato di mantenere viva?"
"Valori e Visioni";11;"Qual è una qualità che ammiri di più nelle persone?"
"Valori e Visioni";12;"Se potessi dare un solo consiglio al te stesso/a di vent'anni fa, quale sarebbe?"
"Valori e Visioni";13;"Cosa consideri il tuo più grande successo personale (non necessariamente professionale)?"
"Valori e Visioni";14;"Qual è una lezione di vita importante che hai imparato e che vorresti trasmettere?"
"Valori e Visioni";15;"Oltre alla casa in cui sei cresciuta, c'è mai stato un posto nel mondo in cui, appena hai messo piede, hai sentito un'inaspettata sensazione di pace e appartenenza?"
"Gusto e Creatività";16;"Se la tua vita fosse un quadro, a quale stile artistico somiglierebbe di più?"
"Gusto e Creatività";17;"Qual è l'opera d'arte (un quadro, un edificio, un pezzo musicale) che ti emoziona di più?"
"Gusto e Creatività";18;"Se dovessi arredare una casa da zero oggi, quale colore e quale materiale non potrebbero mancare?"
"Gusto e Creatività";19;"C'è un'abilità creativa che non hai mai coltivato ma che ti avrebbe affascinato?"
"Gusto e Creatività";20;"Tra tutti i paesaggi, le piazze o gli angoli di natura che hai visto nella tua vita, qual è quello la cui bellezza ti ha fatto letteralmente tirare un sospiro di sollievo?"
"Curiosità e Immaginazione";21;"Se potessi cenare con un personaggio storico (artista, scienziato, politico), chi sceglieresti e perché?"
"Curiosità e Immaginazione";22;"Qual è una piccola cosa quotidiana, apparentemente banale, che però ti mette sempre di buon umore?"
"Curiosità e Immaginazione";23;"Se potessi vivere per un anno in una città straniera, quale sceglieresti e come immagini la tua giornata tipo?"
"Curiosità e Immaginazione";24;"C'è un'invenzione tecnologica che ti ha sorpreso di più negli ultimi anni?"
"Curiosità e Immaginazione";25;"Se avessi una bacchetta magica per cambiare una sola cosa del passato, cosa cambieresti?"
"L'Amore e i Sentimenti";26;"Come hai capito, la prima volta nella vita, di esserti davvero innamorata?"
"L'Amore e i Sentimenti";27;"Qual è stato il gesto romantico più bello che qualcuno abbia mai fatto per te?"
"L'Amore e i Sentimenti";28;"Se dovessi descrivere l'amore con una sola parola o un'immagine, quale sceglieresti?"
"L'Amore e i Sentimenti";29;"C'è stato un amore o un'infatuazione giovanile che non hai mai dimenticato?"
"L'Amore e i Sentimenti";30;"Qual è il segreto per far durare un legame speciale nel tempo, secondo la tua esperienza?"
"L'Amore e i Sentimenti";31;"C'è una lettera, un regalo o un ricordo d'amore che conservi ancora con cura?"
"Il Lavoro e le Realizzazioni";32;"Qual è stato il momento di maggior orgoglio nella tua carriera o vita lavorativa?"
"Il Lavoro e le Realizzazioni";33;"C'è stata una scelta professionale coraggiosa che sei felice di aver fatto?"
"Il Lavoro e le Realizzazioni";34;"Che rapporto c'era tra uomini e donne nel tuo ambiente di lavoro quando hai iniziato?"
"Il Lavoro e le Realizzazioni";35;"Se potessi tornare indietro, rifaresti lo stesso percorso lavorativo o sceglieresti un'altra strada?"
"Il Lavoro e le Realizzazioni";36;"Qual è la lezione più grande che ti ha insegnato il tuo lavoro e che ti è servita anche nella vita?"
"Il Lavoro e le Realizzazioni";37;"C'è un collega o un mentore che ha cambiato in meglio il tuo modo di lavorare o di pensare?"
"La Vita e il Percorso Personale";38;"Qual è l'età della tua vita che ricordi con più nostalgia o felicità, e perché?"
"La Vita e il Percorso Personale";39;"Qual è la sfida più grande che hai superato e che ti ha resa la persona forte che sei oggi?"
"La Vita e il Percorso Personale";40;"Qual è un sogno che avevi da ragazza e che sei riuscita a realizzare?"
"La Vita e il Percorso Personale";41;"Se potessi rivivere un singolo giorno della tua vita esattamente com'era, quale sceglieresti?"
"La Vita e il Percorso Personale";42;"Cos'è per te la felicità oggi, rispetto a quando avevi vent'anni?"
"Famiglia";43;"Chi è la persona della famiglia a cui hai voluto più bene da bambina?"
"Famiglia";44;"C'è una tradizione di famiglia che ti dispiacerebbe veder perdere?"
"Famiglia";45;"Qual è la storia di famiglia che ti piace raccontare più spesso?"
"Famiglia";46;"A chi della famiglia senti di assomigliare di più nel carattere?"
"Famiglia";47;"Qual è la festa o il pranzo in famiglia che ricordi con più piacere?"
"Famiglia";48;"Che rapporto c'è tra i tuoi figli e quanto sono diversi tra loro?"
"Famiglia";49;"Cosa ti ha insegnato la tua famiglia sul modo di trattare gli altri?"
"Famiglia";50;"C'è un parente che avresti voluto conoscere meglio?"
"Famiglia";51;"Qual è il consiglio di un nonno o di una nonna che porti ancora con te?"
"Famiglia";52;"Cosa speri che i più giovani della famiglia ricordino di te?"
